id,Chicken,Eggs,Strawberries,Avocado,Milk,Cereal,Ice Cream,Chips,Shampoo,Toilet Paper,Grapes,Soda,Laundry Detergent,Cucumber,Yogurt,Pork,Spinach,Dog Food,Bread,Cookies
9694436647,3,4,3,0,4,4,5,3,5,3,3,1,2,1,1,0,4,1,3,2
4160979313,0,4,0,5,1,3,3,2,2,5,4,2,2,2,4,4,3,4,0,5
1765945168,3,4,0,1,3,1,1,3,5,3,4,2,3,0,2,1,0,0,4,5
8082180752,4,4,4,5,2,3,0,1,0,5,3,5,3,0,4,5,0,4,1,3
2250321140,1,3,0,0,3,5,2,4,4,5,5,2,0,5,5,4,4,0,1,1
3775688726,0,2,0,0,4,3,3,2,1,4,2,3,4,0,0,4,5,2,1,3
4167437693,5,1,2,5,2,2,0,1,5,4,0,5,5,2,0,3,1,2,0,2
6377664102,5,4,2,1,4,1,1,3,2,4,2,4,1,3,2,1,0,5,4,4
4531743757,4,3,4,5,3,0,4,5,2,1,2,1,2,1,3,1,5,1,1,4
4908277187,5,0,0,4,4,4,3,1,4,5,3,3,0,5,3,1,2,2,2,5
7738503411,5,5,0,3,0,1,1,1,0,0,3,1,2,4,0,2,4,3,0,3
6698108868,4,5,2,1,5,1,5,5,2,5,3,4,5,2,3,1,2,1,5,3
2633691744,4,0,2,5,2,2,5,2,5,0,4,5,1,4,3,3,4,0,4,2
5202878391,3,5,1,3,5,0,4,0,2,0,2,5,5,4,4,1,2,3,0,1
9137310586,3,1,5,3,4,4,1,3,2,4,1,5,2,0,5,2,3,2,2,1
4285039130,3,3,4,1,1,5,0,5,0,5,3,1,0,0,1,2,3,3,1,4
5349304080,3,2,4,5,2,0,2,0,4,4,3,4,5,5,1,1,2,5,0,2
9747040173,2,0,0,2,5,0,5,3,2,0,5,3,2,4,1,2,0,3,1,0
9056943593,1,5,4,2,1,0,4,0,1,2,2,3,2,1,1,0,3,0,4,0
4792006026,5,0,3,0,3,0,4,0,3,4,0,2,3,1,3,3,2,3,2,2
5559080483,0,4,1,5,2,1,4,5,1,2,1,4,4,2,2,5,3,1,1,1
4379879189,2,2,3,5,0,0,4,5,0,3,5,5,0,0,4,0,1,3,4,1
4818435092,0,1,1,3,3,0,1,2,0,3,0,5,2,3,1,5,5,5,4,2
7448848758,2,3,0,4,2,0,4,4,3,4,0,1,5,0,4,1,2,3,2,3
1816082387,1,5,1,1,0,3,4,4,2,2,1,4,2,1,1,2,0,2,3,0
4019878348,1,4,5,4,5,3,1,3,0,3,0,0,4,5,3,4,3,5,5,0
6688094080,0,0,1,2,4,4,2,3,2,2,0,0,4,5,2,4,5,2,0,1
6826338962,4,0,5,3,4,4,1,5,3,1,4,5,5,0,1,3,3,1,2,5
4701297674,1,2,1,3,5,2,5,0,0,1,5,4,1,3,1,5,1,2,1,1
4084291512,1,1,5,5,4,0,5,5,4,5,5,3,5,4,5,4,2,1,5,0
1771818157,0,2,4,1,0,1,1,5,4,1,3,4,5,3,1,4,4,4,4,5
6138382464,2,5,3,4,5,1,1,2,3,4,4,3,0,3,4,4,5,4,5,2
